vehicle_id,Body_Type,Global_Sales_Sub-Segment,Brand,Nameplate,Driven_Wheels,Transmission,Turbo,Fuel_Type,PropSysDesign,Plugin,Registration_Type,Generation_Year,Length,Height,Width,Engine_KW,No_of_Gears,Curb_Weight,CO2,Fuel_cons_combined,date,country_name,year
45298,sedan,car,alfa romeo,giulia,rear,automatic,turbo,gas,ice,no,Passenger Cars,2016.0,4636.0,1435.0,1872.0,206.0,8.0,1496.503300563936,130.63160205535203,6.115217991344963,2017-01-01,USA,2017
45299,coupe,sport,nissan,z-series,rear,automatic,non turbo,gas,ice,no,Passenger Cars,2008.0,4255.0,1316.0,1844.0,243.0,7.0,1535.0,268.0,11.2,2017-01-01,USA,2017
45300,hatchback,car,audi,a5 sportback,front,manual,turbo,diesel,ice,no,Passenger Cars,2016.0,4733.0,1386.0,1843.0,140.0,6.0,1575.0,108.0,4.1,2017-01-01,Germany,2017
45301,wagon,car,mercedes-benz,cla,front,manual,turbo,gas,ice,no,Passenger Cars,2013.0,4640.0,1435.0,1777.0,90.0,6.0,1430.0,134.0,5.8,2017-01-01,Germany,2017
45302,hatchback,car,ford,mondeo,front,manual,turbo,diesel,ice,no,Passenger Cars,2012.0,4871.0,1482.0,1852.0,110.0,6.0,1577.0,130.0,5.0,2017-01-01,Germany,2017
45303,hatchback,car,ford,mondeo,front,manual,turbo,diesel,ice,no,Passenger Cars,2012.0,4871.0,1482.0,1852.0,132.0,6.0,1579.0,132.0,4.5,2017-01-01,Germany,2017
45304,hatchback,car,ford,mondeo,front,automatic,turbo,diesel,ice,no,Passenger Cars,2012.0,4871.0,1482.0,1852.0,154.0,6.0,1579.0,130.0,5.0,2017-01-01,Germany,2017
45305,hatchback,car,ford,mondeo,front,automatic,turbo,diesel,ice,no,Passenger Cars,2012.0,4871.0,1482.0,1852.0,110.0,6.0,1594.0,142.0,4.8,2017-01-01,Germany,2017
45306,sedan,car,mercedes-benz,cla,front,manual,turbo,diesel,ice,no,Passenger Cars,2013.0,4640.0,1432.0,1777.0,80.0,6.0,1450.0,103.0,3.9,2017-01-01,Germany,2017
45307,coupe,sport,chevrolet,camaro,rear,automatic,non turbo,gas,ice,no,Passenger Cars,2015.0,4783.0,1349.0,1897.0,202.0,8.0,1571.0359967484203,227.3767857142857,9.461621693121693,2017-01-01,China,2017
45308,van,van,opel,movano,front,automatic,turbo,diesel,ice,no,Light Commercial Vehicles,2010.0,5749.0,2350.0,2100.0,125.0,6.0,2267.0,206.0,7.4,2017-01-01,Germany,2017
45309,coupe,sport,porsche,cayman,rear,automatic,non turbo,gas,ice,no,Passenger Cars,2006.0,4341.0,1305.0,1801.0,217.0,5.0,1372.0992608149502,224.93516610331955,9.661195533609376,2017-01-01,China,2017
45310,suv,suv,volkswagen,teramont,awd,automatic,turbo,gas,ice,no,Passenger Cars,2016.0,5039.0,1773.0,1989.0,220.0,7.0,2299.1396428571434,301.6,16.23233333333333,2017-01-01,China,2017
45311,sedan,car,alfa romeo,giulia,rear,automatic,turbo,gas,ice,no,Passenger Cars,2016.0,4636.0,1450.0,1872.0,206.0,8.0,1501.8171966678315,131.2965735653235,6.115217991344963,2017-01-01,USA,2017
45312,hatchback,car,skoda,superb,awd,manual,turbo,diesel,ice,no,Passenger Cars,2015.0,4861.0,1468.0,1864.0,110.0,6.0,1605.0,116.0,4.4,2017-01-01,Germany,2017
45313,hatchback,car,ford,mondeo,front,automatic,turbo,diesel,ice,no,Passenger Cars,2012.0,4871.0,1482.0,1852.0,132.0,6.0,1605.0,138.0,4.8,2017-01-01,Germany,2017
45314,sedan,car,mercedes-benz,cla,front,manual,turbo,gas,ice,no,Passenger Cars,2013.0,4640.0,1432.0,1777.0,155.0,6.0,1450.0,148.0,6.4,2017-01-01,Germany,2017
45315,sedan,car,alfa romeo,giulia,awd,automatic,turbo,gas,ice,no,Passenger Cars,2016.0,4636.0,1450.0,1872.0,206.0,8.0,1590.6802668806354,147.9862273154329,6.453838109602818,2017-01-01,USA,2017
45316,van,van,mercedes-benz,sprinter,rear,automatic,turbo,diesel,ice,no,Light Commercial Vehicles,2006.0,7345.0,2795.0,1993.0,105.0,7.0,2280.0,188.0,7.2,2017-01-01,Germany,2017
45317,convertible,car,audi,a3,awd,automatic,turbo,gas,ice,no,Passenger Cars,2012.0,4445.0,1410.0,1792.0755452518465,165.0,6.0,1635.0,223.0,9.0,2017-01-01,USA,2017
45318,coupe,sport,jaguar,f-type,rear,manual,turbo,gas,ice,no,Passenger Cars,2012.0,4482.0,1311.0,1885.0,250.0,6.0,1567.0,234.0,9.8,2017-01-01,Germany,2017
45319,hatchback,car,mercedes-benz,a-class,awd,automatic,turbo,gas,ice,no,Passenger Cars,2012.0,4299.0,1433.0,1780.0,135.0,7.0,1500.0,154.0,6.6,2017-01-01,Germany,2017
45320,suv,suv,mercedes-benz,gla,front,automatic,turbo,gas,ice,no,Passenger Cars,2013.0,4452.0,1532.0,1804.0,115.0,7.0,1383.1948929078048,130.71397280961128,5.712760701212482,2017-01-01,China,2017
45321,coupe,sport,jaguar,f-type,rear,automatic,turbo,gas,ice,no,Passenger Cars,2012.0,4482.0,1311.0,1885.0,250.0,8.0,1577.0,199.0,8.4,2017-01-01,Germany,2017
45322,coupe,sport,porsche,911,rear,automatic,turbo,gas,ice,no,Passenger Cars,2011.0,4498.0,1293.0,1852.0,309.0,7.0,1580.0,256.0,10.7,2017-01-01,USA,2017
45323,van,van,volkswagen,crafter,rear,manual,turbo,diesel,ice,no,Light Commercial Vehicles,2006.0,7340.0,2940.0,1993.0,103.0,6.0,2260.0,205.0,7.9,2017-01-01,Germany,2017
45324,hatchback,car,mercedes-benz,a-class,awd,automatic,turbo,diesel,ice,no,Passenger Cars,2012.0,4299.0,1433.0,1780.0,100.0,7.0,1545.0,124.0,4.8,2017-01-01,Germany,2017
45325,van,van,volkswagen,crafter,rear,manual,turbo,diesel,ice,no,Light Commercial Vehicles,2006.0,7340.0,2940.0,1993.0,103.0,6.0,2260.0,190.0,7.3,2017-01-01,Germany,2017
45326,hatchback,car,mercedes-benz,a-class,awd,automatic,turbo,diesel,ice,no,Passenger Cars,2012.0,4299.0,1433.0,1780.0,130.0,7.0,1545.0,124.0,4.8,2017-01-01,Germany,2017
45327,van,van,volkswagen,crafter,rear,manual,turbo,diesel,ice,no,Light Commercial Vehicles,2006.0,7340.0,2940.0,1993.0,103.0,6.0,2232.0,205.0,7.9,2017-01-01,Germany,2017
45328,hatchback,car,opel,insignia,awd,automatic,turbo,gas,ice,no,Passenger Cars,2017.0,4897.0,1455.3478001606238,1863.0,191.0,8.0,1649.0,197.0,8.6,2017-01-01,Germany,2017
45329,convertible,car,fiat,500c,front,manual,non turbo,gas,ice,no,Passenger Cars,2007.0,3546.0,1519.0,1628.0,74.0,5.0,1100.0,165.0,6.9,2017-01-01,USA,2017
45330,suv,suv,mercedes-benz,gls,awd,automatic,unknown,gas,ice,no,Passenger Cars,2012.0,4961.348421136808,1912.145521117548,1920.8965914058615,335.0,8.0,2468.649920634921,262.6044411054519,13.123777777777775,2017-01-01,China,2017
45331,convertible,car,bmw,2-series,rear,automatic,turbo,gas,ice,no,Passenger Cars,2013.0,4463.0,1413.0,1724.0,135.0,8.0,1587.6495335438653,140.06533224206578,6.2019462951792015,2017-01-01,China,2017
45332,convertible,car,fiat,500c,front,automatic,non turbo,gas,ice,no,Passenger Cars,2007.0,3546.0,1519.0,1628.0,74.0,6.0,1100.0,194.0,8.1,2017-01-01,USA,2017
45333,convertible,car,bmw,2-series,rear,automatic,turbo,gas,ice,no,Passenger Cars,2013.0,4463.0,1425.0,1724.0,135.0,8.0,1556.017294295761,138.80977977292994,6.197699104359642,2017-01-01,China,2017
45334,convertible,car,bmw,4-series,rear,automatic,turbo,gas,ice,no,Passenger Cars,2013.0,4638.0,1384.0,1825.0,135.0,8.0,1747.3617240463714,139.25693046005327,6.087850311305082,2017-01-01,China,2017
45335,van,van,mercedes-benz,sprinter,rear,automatic,turbo,diesel,ice,no,Light Commercial Vehicles,2006.0,6945.0,2790.0,1993.0,105.0,7.0,2230.0,188.0,7.2,2017-01-01,Germany,2017
45336,convertible,sport,dodge,challenger,awd,automatic,non turbo,gas-e,ice,no,Passenger Cars,2008.0,5027.0,1461.0,1923.0,227.0,8.0,2025.2483499278492,288.2111111111111,12.776251829788315,2017-01-01,USA,2017
45337,hatchback,car,kia,rio,front,manual,turbo,diesel,ice,no,Passenger Cars,2016.0,4065.0,1450.0,1725.0,66.0,6.0,1230.0,98.0,3.8,2017-01-01,Germany,2017
45338,sedan,car,mercedes-benz,c-class,rear,automatic,turbo,gas,ice,no,Passenger Cars,2013.0,4756.0,1461.0,1839.0,350.0,7.0,1664.9526008356552,159.13907046657047,7.76874342291009,2017-01-01,China,2017
45339,coupe,car,mercedes-benz,cls,rear,automatic,turbo,gas,ice,no,Passenger Cars,2010.0,4940.0,1417.0,1882.0,300.0,9.0,1930.0,268.0,11.2,2017-01-01,USA,2017
45340,convertible,car,rolls-royce,dawn,rear,automatic,unknown,gas,ice,no,Passenger Cars,2013.0,5148.9831141636105,1677.0586892655358,1954.485641025641,433.4537891737891,8.0,2485.798885281385,324.6630769230769,14.242523809523806,2017-01-01,China,2017
45341,wagon,car,mercedes-benz,cla,front,manual,turbo,gas,ice,no,Passenger Cars,2013.0,4640.0,1435.0,1777.0,115.0,6.0,1430.0,134.0,5.8,2017-01-01,Germany,2017
45342,convertible,car,ds,ds3,front,manual,turbo,gas,ice,no,Passenger Cars,2009.0,3968.0,1443.0,1717.0,153.0,6.0,1241.0,125.0,5.4,2017-01-01,Germany,2017
45343,coupe,car,bmw,2-series,rear,automatic,turbo,gas,ice,no,Passenger Cars,2013.0,4476.0,1423.0,1854.0,272.0,7.0,1565.824812303329,161.73755919431784,7.713027353737878,2017-01-01,China,2017
45344,hatchback,car,mini,mini,front,manual,turbo,gas,ice,no,Passenger Cars,2013.0,4005.0,1425.0,1727.0,141.0,6.0,1220.0,136.0,5.9,2017-01-01,Germany,2017
45345,coupe,sport,porsche,911,rear,automatic,non turbo,gas,ice,no,Passenger Cars,2011.0,4545.0,1291.0,1880.0,368.0,7.0,1420.0,330.0,13.8,2017-01-01,USA,2017
45346,hatchback,car,skoda,octavia,awd,automatic,turbo,diesel,ice,no,Passenger Cars,2013.0,4689.0,1448.0,1814.0,135.0,6.0,1555.0,134.0,5.1,2017-01-01,Germany,2017
45347,coupe,sport,porsche,911,rear,manual,turbo,gas,ice,no,Passenger Cars,2011.0,4498.0,1295.0,1852.0,309.0,7.0,1490.0,244.0,10.2,2017-01-01,USA,2017
45348,hatchback,car,ford,mondeo,front,automatic,turbo,gas,ice,no,Passenger Cars,2012.0,4871.0,1482.0,1852.0,149.0,6.0,1562.0,171.0,7.4,2017-01-01,Germany,2017
45349,wagon,car,mercedes-benz,e-class,awd,automatic,turbo,diesel,ice,no,Passenger Cars,2016.0,4947.0,1497.0,1861.0,143.0,9.0,1920.0,149.0,5.6,2017-01-01,Germany,2017
45350,hatchback,car,ford,mondeo,front,automatic,turbo,gas,ice,no,Passenger Cars,2012.0,4871.0,1482.0,1852.0,177.0,6.0,1562.0,171.0,7.4,2017-01-01,Germany,2017
45351,van,van,mercedes-benz,sprinter,rear,automatic,turbo,diesel,ice,no,Light Commercial Vehicles,2006.0,6945.0,3020.0,1993.0,105.0,7.0,2240.0,204.0,7.8,2017-01-01,Germany,2017
45352,coupe,sport,jaguar,f-type,rear,manual,turbo,gas,ice,no,Passenger Cars,2012.0,4482.0,1311.0,1885.0,280.0,6.0,1584.0,234.0,9.8,2017-01-01,Germany,2017
45353,hatchback,car,mercedes-benz,a-class,front,automatic,turbo,diesel,ice,no,Passenger Cars,2012.0,4299.0,1433.0,1780.0,130.0,7.0,1485.0,107.0,4.1,2017-01-01,Germany,2017
45354,hatchback,car,volkswagen,golf,awd,manual,turbo,gas,ice,no,Passenger Cars,2012.0,4263.0,1465.0,1799.0,228.0,6.0,1483.0,177.0,7.8,2017-01-01,Germany,2017
45355,coupe,sport,jaguar,f-type,awd,automatic,turbo,gas,ice,no,Passenger Cars,2012.0,4475.0,1311.0,1885.0,423.0,8.0,1705.0,269.0,11.3,2017-01-01,Germany,2017
45356,coupe,sport,jaguar,f-type,awd,automatic,turbo,gas,ice,no,Passenger Cars,2012.0,4482.0,1311.0,1885.0,405.0,8.0,1730.0,269.0,11.3,2017-01-01,Germany,2017
45357,suv,suv,changan,cs95,front,automatic,turbo,gas,ice,no,Passenger Cars,2016.0,4949.0,1785.0,1930.0,171.0,6.0,1902.3619047619045,240.13,11.962333333333332,2017-01-01,China,2017
45358,wagon,car,mercedes-benz,e-class,awd,automatic,turbo,gas,ice,no,Passenger Cars,2016.0,4933.0,1475.0,1852.0,135.0,9.0,1695.0,174.0,7.6,2017-01-01,Germany,2017
45359,coupe,sport,honda,nsx,awd,automatic,turbo,gas,hybrid-full,no,Passenger Cars,2015.0,4470.0,1215.0,1920.0,373.0,9.0,1763.0,234.0,10.0,2017-01-01,Germany,2017
45360,hatchback,car,skoda,octavia,front,manual,turbo,diesel,ice,no,Passenger Cars,2013.0,4689.0,1448.0,1814.0,135.0,6.0,1445.0,119.0,4.5,2017-01-01,Germany,2017
45361,hatchback,car,audi,a3 sportback,front,unknown,unknown,gas,ice,no,Passenger Cars,2012.0,4359.720882217919,1514.4484091594682,1778.8175333333334,140.0,5.0,1421.8223743252358,240.59111111111113,10.043596681096684,2017-01-01,Germany,2017
45362,hatchback,car,skoda,octavia,awd,manual,turbo,diesel,ice,no,Passenger Cars,2013.0,4670.0,1461.0,1814.0,110.0,6.0,1438.0,123.0,4.7,2017-01-01,Germany,2017
45363,hatchback,car,citroen,c4,front,manual,turbo,diesel,ice,no,Passenger Cars,2010.0,4329.0,1498.0,1789.0,110.0,6.0,1435.0,100.0,3.8,2017-01-01,Germany,2017
45364,hatchback,car,citroen,c4,front,manual,turbo,diesel,ice,no,Passenger Cars,2010.0,4329.0,1498.0,1789.0,110.0,6.0,1435.0,98.0,3.8,2017-01-01,Germany,2017
45365,van,van,mercedes-benz,sprinter,rear,automatic,turbo,diesel,ice,no,Light Commercial Vehicles,2006.0,5910.0,2660.0,1993.0,84.0,7.0,2215.0,188.0,7.2,2017-01-01,Germany,2017
45366,coupe,sport,mercedes-benz,gt,rear,automatic,turbo,gas,ice,no,Passenger Cars,2014.0,4551.0,1284.0,1939.0,410.0,7.0,1700.0,259.0,12.5,2017-01-01,Germany,2017
45367,hatchback,car,buick,velite 5,front,automatic,non turbo,gas,hybrid-full,yes,Passenger Cars,2017.0,4579.0,1494.0,1811.0,78.0,6.0,1881.9023156553585,164.41142857142853,8.863333333333333,2017-01-01,China,2017
45368,hatchback,car,hyundai,verna,front,automatic,non turbo,gas,ice,no,Passenger Cars,2016.0,4190.0,1460.0,1728.0,73.0,6.0,1645.65960458725,252.30277777777775,14.338194444444444,2017-01-01,China,2017
45369,hatchback,car,porsche,panamera,rear,automatic,turbo,gas,ice,no,Passenger Cars,2016.0,5049.0,1423.0,1937.0,243.0,8.0,1890.0,171.0,7.5,2017-01-01,Germany,2017
45370,hatchback,car,volkswagen,golf,front,automatic,turbo,gas,ice,no,Passenger Cars,2012.0,4255.0,1452.0,1799.0,81.0,7.0,1212.6532542673008,104.37210426790287,4.63208246369145,2017-01-01,China,2017
45371,coupe,sport,nissan,z-series,rear,automatic,non turbo,gas,ice,no,Passenger Cars,2008.0,4255.0,1316.0,1844.0,243.0,7.0,1539.0,268.0,11.2,2017-01-01,USA,2017
45372,wagon,car,mercedes-benz,cla,front,automatic,turbo,gas,ice,no,Passenger Cars,2013.0,4640.0,1435.0,1777.0,115.0,7.0,1460.0,124.0,5.3,2017-01-01,Germany,2017
45373,hatchback,car,baojun,310,front,manual,non turbo,gas,ice,no,Passenger Cars,2014.0,4032.0,1450.0,1680.0,82.0,6.0,1157.2948823361373,245.75777777777782,13.859067460317462,2017-01-01,China,2017
45374,hatchback,car,baojun,310,front,manual,non turbo,gas,ice,no,Passenger Cars,2014.0,4032.0,1470.0,1680.0,82.0,6.0,1154.0875628276888,245.75777777777782,13.859067460317462,2017-01-01,China,2017
45375,hatchback,car,chevrolet,cruze,front,automatic,non turbo,gas,ice,no,Passenger Cars,2014.0,4450.0,1475.0,1807.0,84.0,6.0,1312.1145664589403,145.6887426900585,6.695391691033138,2017-01-01,China,2017
45376,van,van,volkswagen,crafter,rear,manual,turbo,diesel,ice,no,Light Commercial Vehicles,2006.0,6940.0,2940.0,1993.0,84.0,6.0,2356.0,231.0,8.8,2017-01-01,Germany,2017
45377,hatchback,car,porsche,panamera,awd,automatic,turbo,gas,ice,no,Passenger Cars,2016.0,5049.0,1423.0,1937.0,243.0,8.0,1925.0,175.0,7.7,2017-01-01,Germany,2017
45378,hatchback,car,porsche,panamera,awd,automatic,turbo,gas,ice,no,Passenger Cars,2016.0,5199.0,1428.0,1937.0,243.0,8.0,1935.0,178.0,7.8,2017-01-01,Germany,2017
45379,wagon,car,mercedes-benz,cla,front,automatic,turbo,gas,ice,no,Passenger Cars,2013.0,4640.0,1435.0,1777.0,90.0,7.0,1460.0,124.0,5.3,2017-01-01,Germany,2017
45380,hatchback,car,porsche,panamera,awd,automatic,turbo,gas,ice,no,Passenger Cars,2016.0,5199.0,1428.0,1937.0,324.0,8.0,1980.0,187.0,8.2,2017-01-01,Germany,2017
45381,coupe,sport,jaguar,f-type,awd,automatic,turbo,gas,ice,no,Passenger Cars,2012.0,4482.0,1311.0,1885.0,280.0,8.0,1674.0,211.0,8.9,2017-01-01,Germany,2017
45382,hatchback,car,audi,a5 sportback,awd,automatic,turbo,diesel,ice,no,Passenger Cars,2016.0,4733.0,1386.0,1843.0,210.0,8.0,1775.0,141.0,5.4,2017-01-01,Germany,2017
45383,van,van,mercedes-benz,sprinter,rear,automatic,turbo,diesel,ice,no,Light Commercial Vehicles,2006.0,7345.0,3025.0,1993.0,105.0,7.0,2290.0,204.0,7.8,2017-01-01,Germany,2017
45384,van,van,mercedes-benz,sprinter,rear,automatic,turbo,diesel,ice,no,Light Commercial Vehicles,2006.0,6945.0,2675.0,1993.0,84.0,7.0,2380.0,180.0,6.9,2017-01-01,Germany,2017
45385,coupe,sport,aston martin,vantage,rear,automatic,non turbo,gas,ice,no,Passenger Cars,2004.0,4382.0,1269.0,1865.0,313.0,6.0,1603.4814022649425,317.93730158730165,13.766728978854381,2017-01-01,China,2017
45386,coupe,sport,aston martin,vantage,rear,automatic,non turbo,gas,ice,no,Passenger Cars,2004.0,4382.0,1269.0,1865.0,313.0,7.0,1608.1143542692284,314.3772005772005,13.356552649585028,2017-01-01,China,2017
45387,van,van,mercedes-benz,sprinter,rear,automatic,turbo,diesel,ice,no,Passenger Cars,2006.0,5245.0,2695.0,1993.0,105.0,7.0,2040.0,188.0,7.2,2017-01-01,Germany,2017
45388,sedan,car,alfa romeo,giulia,awd,automatic,turbo,gas,ice,no,Passenger Cars,2016.0,4636.0,1435.0,1872.0,206.0,8.0,1584.9428859282548,148.1846400138456,6.464671442936148,2017-01-01,USA,2017
45389,suv,suv,audi,q3,front,automatic,turbo,gas,ice,no,Passenger Cars,2011.0,4398.0,1591.0,1841.0,110.0,6.0,1466.7767126817816,133.16937301641025,5.825952158751693,2017-01-01,China,2017
45390,hatchback,car,ford,mondeo,awd,automatic,turbo,diesel,ice,no,Passenger Cars,2012.0,4871.0,1482.0,1852.0,132.0,6.0,1682.0,161.0,5.3,2017-01-01,Germany,2017
45391,suv,suv,faw,besturn x80,front,automatic,non turbo,gas,ice,no,Passenger Cars,2013.0,4620.0,1695.0,1820.0,108.0,6.0,1631.0163553614634,212.69523809523807,12.178549382716053,2017-01-01,China,2017
45392,hatchback,car,mini,mini,front,automatic,turbo,gas,ice,no,Passenger Cars,2013.0,4005.0,1425.0,1727.0,141.0,6.0,1240.0,125.0,5.4,2017-01-01,Germany,2017
45393,wagon,car,mercedes-benz,e-class,awd,automatic,turbo,diesel,ice,no,Passenger Cars,2016.0,4933.0,1475.0,1852.0,143.0,9.0,1780.0,138.0,5.2,2017-01-01,Germany,2017
45394,hatchback,car,mercedes-benz,a-class,front,manual,turbo,diesel,ice,no,Passenger Cars,2012.0,4299.0,1433.0,1780.0,100.0,6.0,1455.0,111.0,4.3,2017-01-01,Germany,2017
45395,wagon,car,opel,astra,front,manual,turbo,cng,ice,no,Passenger Cars,2015.0,4702.0,1499.0,1809.0,81.0,6.0,1425.0,116.0,6.5,2017-01-01,Germany,2017
45396,van,van,ford,transit,rear,manual,turbo,diesel,ice,no,Light Commercial Vehicles,2012.0,5531.0,2536.0,2059.0,92.0,6.0,2321.0,191.0,7.3,2017-01-01,Germany,2017
45397,mpv,mpv,ford,s-max,awd,manual,turbo,diesel,ice,no,Passenger Cars,2015.0,4796.0,1655.0,1916.0,110.0,6.0,1784.0,149.0,5.4,2017-01-01,Germany,2017
45398,hatchback,car,skoda,octavia,front,automatic,turbo,diesel,ice,no,Passenger Cars,2013.0,4689.0,1448.0,1814.0,135.0,6.0,1465.0,129.0,4.9,2017-01-01,Germany,2017
45399,wagon,car,skoda,octavia,front,manual,turbo,gas,ice,no,Passenger Cars,2013.0,4689.0,1452.0,1814.0,169.0,6.0,1442.0,149.0,6.5,2017-01-01,Germany,2017
45400,hatchback,car,skoda,octavia,awd,automatic,turbo,diesel,ice,no,Passenger Cars,2013.0,4670.0,1461.0,1814.0,135.0,6.0,1463.0,129.0,4.9,2017-01-01,Germany,2017
45401,sedan,car,toyota,corolla,front,automatic,non turbo,gas,ice,no,Passenger Cars,2013.0,4620.0,1465.0,1775.0,97.0,6.0,1280.0,129.0,5.6,2017-01-01,Germany,2017
45402,hatchback,car,mini,mini,front,automatic,turbo,diesel,ice,no,Passenger Cars,2013.0,4005.0,1425.0,1727.0,125.0,6.0,1250.0,109.0,4.1,2017-01-01,Germany,2017
45403,hatchback,car,mini,mini,front,automatic,turbo,diesel,ice,no,Passenger Cars,2013.0,3982.0,1425.0,1727.0,85.0,6.0,1205.0,105.0,3.8,2017-01-01,Germany,2017
45404,wagon,car,skoda,octavia,awd,automatic,turbo,gas,ice,no,Passenger Cars,2013.0,4670.0,1465.0,1814.0,132.0,6.0,1450.0,154.0,6.6,2017-01-01,Germany,2017
45405,wagon,car,skoda,octavia,awd,manual,turbo,diesel,ice,no,Passenger Cars,2013.0,4670.0,1465.0,1814.0,110.0,6.0,1458.0,123.0,4.7,2017-01-01,Germany,2017
